departement,prefecture,population,longitude,latitude
Ariège,Foix,9613,1.6053807,42.9638998
Aude,Carcassonne,45895,2.3491069,43.2130358
Aveyron,Rodez,23739,2.5728419,44.3516207
Gard,Nîmes,151001,4.3600687,43.8374249
Haute-Garonne,Toulouse,475438,1.4442469,43.6044622
Gers,Auch,21618,0.5850507,43.6463558
Hérault,Montpellier,281613,3.8767337,43.6112422
Lot,Cahors,19405,1.4364999,44.4495000
Lozère,Mende,11860,3.4991057,44.5180226
Hautes-Pyrénées,Tarbes,40318,0.0781021,43.232858
Pyrénées-Orientales,Perpignan,121875,2.8953121,42.6985304
Tarn,Albi,49024,2.1478990,43.9277552
Tarn-et-Garonne,Montauban,60444,1.3549991,44.0175835
