"ecoregion_id","ecoregion","realm","biome"
"AA0106","Halmahera rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0107","Huon Peninsula montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0105","Central Range montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0102","Banda Sea Islands moist deciduous forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0103","Biak-Numfoor rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0104","Buru rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0118","Seram rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0119","Solomon Islands rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0120","Southeastern Papuan rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0121","Southern New Guinea freshwater swamp forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0122","Southern New Guinea lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0123","Sulawesi lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0124","Sulawesi montane rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0125","Trobriand Islands rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0126","Vanuatu rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0101","Admiralty Islands lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"AA0128","Vogelkop-Aru lowland rain forests","Australasia","Tropical and Subtropical Moist Broadleaf Forests"
"NT0178","Western Ecuador moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0179","Windward Islands moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
"NT0180","Xingu-Tocantins-Araguaia moist forests","Neotropical","Tropical and Subtropical Moist Broadleaf Forests"
