"region","locality","sites","lon","lat","distCoast_km","coralReefAreaIn5kmRadius_km2","coralReefAreaIn12kmRadius_km2","coralReefAreaIn100kmRadius_km2","rockyReefAreaIn5kmRadius_km2","rockyReefAreaIn12kmRadius_km2","rockyReefAreaIn100kmRadius_km2","distClosesReef_km","reefArea_km2"
"central_iwp","palau","palau_1",131.86,2.89,10.9366435,0,15,26,0,59,100,1.730904764,15
"central_iwp","raja_ampat","raja_ampat_1",130.4086,-2.04465,0.047923508,1,4,34,0,0,33,0.262763372,4
"central_iwp","raja_ampat","raja_ampat_2",130.4564981,-2.18124074,1.146394059,1,3,28,0,0,33,0.371203151,3
"central_iwp","raja_ampat","raja_ampat_3",130.5943167,-1.99951667,0.196123798,0,3,35,0,0,33,0.056419804,3
"central_iwp","raja_ampat","raja_ampat_4",130.4615708,-1.96530833,0.19086531,1,8,34,0,0,33,0.037612364,8
"central_iwp","raja_ampat","raja_ampat_5",130.321275,-2.119825,0.0246963,0,3,28,0,0,33,0.021629788,3
"central_iwp","raja_ampat","raja_ampat_6",130.5616278,-2.22199722,0.265681425,1,4,28,0,0,33,0.68524498,4
"central_iwp","raja_ampat","raja_ampat_7",130.22502,-2.17297333,0.827473994,0,0,28,0,0,33,0.477422605,0
"central_iwp","raja_ampat","raja_ampat_8",130.9126708,-2.15541667,0.003042308,0,0,44,0,0,33,0.33076018,0
"central_iwp","raja_ampat","raja_ampat_9",130.7869417,-2.00558333,3.209829891,1,2,44,0,0,33,1.647165607,2
"central_iwp","raja_ampat","raja_ampat_10",130.6818833,-2.02931667,0.623587797,1,2,45,0,0,33,0.014478297,2
"central_pacific","samoa","samoa_1",-170.8013889,-14.28527778,1.019210954,1,2,16,8,71,384,0.20056996,2
"central_pacific","samoa","samoa_2",-170.5516667,-14.28361111,2.234676349,2,5,14,28,55,273,0.251017344,5
"central_pacific","samoa","samoa_3",-169.6752478,-14.16747811,0.487184869,2,3,6,38,57,208,0.314787774,3
"central_pacific","samoa","samoa_4",-169.4833333,-14.21666667,0.046984884,1,1,4,20,70,171,0.030555635,1
"central_pacific","samoa","samoa_5",-168.1522222,-14.53444444,2.746194574,1,1,1,13,13,13,0.008929082,1
"central_pacific","samoa","samoa_6",-171.0855556,-11.05138889,0.105184569,0,0,0,2,2,2,0.102929084,2
"central_pacific","samoa","samoa_7",-171.7858241,-13.80928852,1.418987911,0,4,45,53,147,1037,0.048100994,4
"central_iwp","solomon","solomon_1",160.1488083,-9.06668333,0.673032834,1,6,81,10,119,1670,0.704016358,6
"central_iwp","solomon","solomon_2",160.0337833,-8.843,0.040440485,0,4,99,7,67,2370,0.026797099,4
"central_iwp","solomon","solomon_3",159.63475,-8.14553333,0.843700697,2,5,74,52,255,2559,0.01323456,5
"central_iwp","solomon","solomon_4",159.7833333,-8.41666667,0.427378735,3,10,97,17,137,2752,0.239972983,10
"central_iwp","solomon","solomon_5",159.4410167,-8.35168333,2.706937339,0,2,100,37,141,2826,0.023012827,2
"central_iwp","solomon","solomon_6",159.2305833,-8.2051,0.425462495,2,8,96,42,154,2828,0.012254932,8
"central_iwp","solomon","solomon_7",158.9126333,-8.00616667,0.175260531,2,5,105,29,88,2593,0.011279159,5
"central_iwp","solomon","solomon_8",158.7219833,-7.84648333,0.307145961,1,5,131,21,57,2545,0.012101169,5
"central_iwp","solomon","solomon_9",158.3797222,-7.53941111,1.18632369,0,13,162,26,220,2163,0.012101169,13
"central_iwp","solomon","solomon_10",158.2259667,-7.40676667,0.251559149,4,11,157,14,211,2003,0.338774293,11
"central_iwp","solomon","solomon_11",158.093175,-7.3743,0.77367064,7,20,159,57,274,1953,0.002733865,20
"central_iwp","solomon","solomon_12",158.0455667,-7.4678,1.321616476,1,5,167,54,274,2045,0.002733865,5
"central_iwp","solomon","solomon_13",157.7897667,-7.54053333,0.270927065,4,11,171,40,127,2371,0.00718921,11
"central_iwp","solomon","solomon_14",157.53825,-7.4258,0.147307127,3,14,163,0,0,2086,0.009393938,14
"central_iwp","solomon","solomon_15",157.41735,-7.41436667,0.025990986,2,6,163,0,0,2142,0.056066414,6
"central_iwp","solomon","solomon_16",157.27855,-7.35646667,0.132292666,2,4,161,0,0,2135,0.003979394,4
"central_iwp","solomon","solomon_17",156.3958833,-6.69366667,0.138827778,1,5,98,0,0,1781,0.114106599,5
"central_iwp","solomon","solomon_18",156.5716833,-6.62685,2.194081235,5,7,92,0,0,1446,0.140232621,7
"central_iwp","solomon","solomon_19",156.0865083,-6.96528333,0.065559088,5,19,97,13,130,1796,0.140232621,19
"central_iwp","solomon","solomon_20",156.51415,-7.73845,0.881029914,1,6,83,60,152,1408,0.000310312,6
"central_iwp","solomon","solomon_21",156.7709089,-8.01726333,0.975747108,4,7,73,61,182,1815,0.000310312,7
"central_iwp","solomon","solomon_22",157.22275,-8.31488333,0.060348014,1,7,95,34,116,2151,0.076999529,7
"central_iwp","solomon","solomon_23",157.3324833,-8.39501667,0.099990338,1,3,96,23,127,2141,0.002582764,3
"central_iwp","solomon","solomon_24",157.80345,-8.64518333,0.064090733,2,3,72,0,15,1463,0.00604021,3
"central_iwp","solomon","solomon_25",157.9521333,-8.42595,0.189102654,2,5,91,36,159,1634,0.006368139,5
"central_iwp","solomon","solomon_26",158.0250167,-8.53748333,0.146297209,1,7,71,25,165,1297,0.492803344,7
"central_iwp","solomon","solomon_27",158.2092,-8.68295833,0.063777539,2,5,60,35,176,985,0.273766334,5
"central_iwp","solomon","solomon_28",159.1104833,-8.98199167,0.405024403,4,7,62,2,33,931,0.152942202,7
"central_iwp","solomon","solomon_29",159.1466417,-9.12709167,0.565278876,4,8,50,1,38,801,0.28779876,8
"central_iwp","solomon","solomon_30",160.883625,-9.82620833,0.863456861,3,7,60,39,120,1500,0.110724813,7
"central_iwp","solomon","solomon_31",161.3583167,-10.35181667,1.35312232,1,1,52,1,42,1092,0.000616104,1
"central_iwp","solomon","solomon_32",161.5100833,-10.47495,0.958919312,4,5,48,16,108,970,0.048928772,5
"central_iwp","solomon","solomon_33",162.2745333,-10.79900833,1.019001355,2,9,40,25,102,810,0.137953208,9
"central_iwp","solomon","solomon_34",161.962575,-10.25950833,0.956989013,0,1,54,19,40,1037,0.008408543,1
"central_iwp","solomon","solomon_35",161.6769167,-10.18663333,1.244829486,3,9,60,16,35,1170,0.004467058,9
"central_iwp","solomon","solomon_36",161.7196333,-10.28981667,0.277040039,2,7,53,22,80,1011,0.011802926,7
"central_iwp","solomon","solomon_37",161.2209,-9.44661667,0.082404342,0,0,60,22,70,1157,0.084888092,70
"central_iwp","solomon","solomon_38",161.575009,-9.620462,2.821210061,0,0,61,21,72,1192,0.767530474,72
"central_iwp","solomon","solomon_39",161.011731,-8.761313,1.571795198,1,4,80,0,0,858,0.071991663,4
"central_iwp","solomon","solomon_40",160.661242,-8.347659,1.075505327,2,9,71,0,0,1125,0.342500216,9
"central_iwp","solomon","solomon_41",160.636017,-8.827084,7.723527462,0,3,94,0,0,1287,2.179777174,3
"central_iwp","solomon","solomon_42",160.3371833,-9.28848333,0.066401643,1,7,71,22,103,1312,1.59578e-06,7
"central_iwp","solomon","solomon_43",159.7853833,-9.1179,0.009749274,2,3,80,0,0,1562,0.028811238,3
"central_iwp","solomon","solomon_44",159.6766,-9.2515,0.159768192,2,3,76,0,0,1327,0.014072585,3
"central_iwp","solomon","solomon_45",155.8960667,-7.07116667,0.200719499,1,6,86,0,37,1766,0.039854413,6
"central_iwp","solomon","solomon_46",155.5455667,-7.40961667,0.187306654,0,0,48,11,33,1495,2.247209211,33
"caribbean","bahamas","bahamas_1",-79.305925,25.69951666,0.001835366,0,2,59,0,0,170,0.823320801,2
