"species_id","class","order","family","genus","species","common","sci_name"
15168,"Mammalia","Artiodactyla","Antilocapridae","Antilocapra","americana","Pronghorn","Antilocapra americana"
15290,"Mammalia","Artiodactyla","Bovidae","Addax","nasomaculatus","Addax","Addax nasomaculatus"
15169,"Mammalia","Artiodactyla","Bovidae","Aepyceros","melampus","Impala","Aepyceros melampus"
15170,"Mammalia","Artiodactyla","Bovidae","Alcelaphus","buselaphus","Hartebeest","Alcelaphus buselaphus"
15176,"Mammalia","Artiodactyla","Bovidae","Alcelaphus","lichtensteinii","Lichtenstein's Hartebeest","Alcelaphus lichtensteinii"
15177,"Mammalia","Artiodactyla","Bovidae","Ammodorcas","clarkei","Dibatag","Ammodorcas clarkei"
15239,"Mammalia","Artiodactyla","Bovidae","Ammotragus","lervia","Aoudad","Ammotragus lervia"
15178,"Mammalia","Artiodactyla","Bovidae","Antidorcas","marsupialis","Springbok","Antidorcas marsupialis"
15179,"Mammalia","Artiodactyla","Bovidae","Antilope","cervicapra","Blackbuck","Antilope cervicapra"
15173,"Mammalia","Artiodactyla","Bovidae","Beatragus","hunteri","Hirola","Beatragus hunteri"
15215,"Mammalia","Artiodactyla","Bovidae","Bison","bison","American Bison","Bison bison"
15217,"Mammalia","Artiodactyla","Bovidae","Bos","frontalis","Gaur","Bos frontalis"
27415,"Mammalia","Artiodactyla","Bovidae","Bos","gaurus",NA,"Bos gaurus"
15218,"Mammalia","Artiodactyla","Bovidae","Bos","grunniens","Yak","Bos grunniens"
15219,"Mammalia","Artiodactyla","Bovidae","Bos","javanicus","Banteng","Bos javanicus"
15220,"Mammalia","Artiodactyla","Bovidae","Bos","sauveli","Kouprey","Bos sauveli"
95444,"Mammalia","Artiodactyla","Bovidae","Bos","spiralis",NA,"Bos spiralis"
15222,"Mammalia","Artiodactyla","Bovidae","Boselaphus","tragocamelus","Nilgai","Boselaphus tragocamelus"
27417,"Mammalia","Artiodactyla","Bovidae","Bubalus","arnee",NA,"Bubalus arnee"
15223,"Mammalia","Artiodactyla","Bovidae","Bubalus","bubalis","Water Buffalo","Bubalus bubalis"
15224,"Mammalia","Artiodactyla","Bovidae","Bubalus","depressicornis","Anoa","Bubalus depressicornis"
15226,"Mammalia","Artiodactyla","Bovidae","Bubalus","mindorensis","Tamaraw","Bubalus mindorensis"
15227,"Mammalia","Artiodactyla","Bovidae","Bubalus","quarlesi","Mountain Anoa","Bubalus quarlesi"
15240,"Mammalia","Artiodactyla","Bovidae","Budorcas","taxicolor","Takin","Budorcas taxicolor"
27434,"Mammalia","Artiodactyla","Bovidae","Capra","aegagrus",NA,"Capra aegagrus"
15241,"Mammalia","Artiodactyla","Bovidae","Capra","caucasica","West Caucasian Tur","Capra caucasica"
15243,"Mammalia","Artiodactyla","Bovidae","Capra","falconeri","Markhor","Capra falconeri"
15245,"Mammalia","Artiodactyla","Bovidae","Capra","ibex","Ibex","Capra ibex"
15246,"Mammalia","Artiodactyla","Bovidae","Capra","nubiana","Nubian Ibex","Capra nubiana"
15247,"Mammalia","Artiodactyla","Bovidae","Capra","pyrenaica","Spanish Ibex","Capra pyrenaica"
15248,"Mammalia","Artiodactyla","Bovidae","Capra","sibirica","Siberian Ibex","Capra sibirica"
15249,"Mammalia","Artiodactyla","Bovidae","Capra","walie","Walia Ibex","Capra walie"
15255,"Mammalia","Artiodactyla","Bovidae","Capricornis","crispus","Japanese Serow","Capricornis crispus"
95468,"Mammalia","Artiodactyla","Bovidae","Capricornis","milneedwardsii",NA,"Capricornis milneedwardsii"
95469,"Mammalia","Artiodactyla","Bovidae","Capricornis","rubidus",NA,"Capricornis rubidus"
15257,"Mammalia","Artiodactyla","Bovidae","Capricornis","sumatraensis","Serow","Capricornis sumatraensis"
15258,"Mammalia","Artiodactyla","Bovidae","Capricornis","swinhoei","Taiwan Serow","Capricornis swinhoei"
95470,"Mammalia","Artiodactyla","Bovidae","Capricornis","thar",NA,"Capricornis thar"
15271,"Mammalia","Artiodactyla","Bovidae","Cephalophus","adersi","Aders's Duiker","Cephalophus adersi"
95477,"Mammalia","Artiodactyla","Bovidae","Cephalophus","brookei",NA,"Cephalophus brookei"
15272,"Mammalia","Artiodactyla","Bovidae","Cephalophus","callipygus","Peters's Duiker","Cephalophus callipygus"
15273,"Mammalia","Artiodactyla","Bovidae","Cephalophus","dorsalis","Bay Duiker","Cephalophus dorsalis"
15275,"Mammalia","Artiodactyla","Bovidae","Cephalophus","jentinki","Jentink's Duiker","Cephalophus jentinki"
15276,"Mammalia","Artiodactyla","Bovidae","Cephalophus","leucogaster","White-bellied Duiker","Cephalophus leucogaster"
15279,"Mammalia","Artiodactyla","Bovidae","Cephalophus","natalensis","Natal Duiker","Cephalophus natalensis"
15280,"Mammalia","Artiodactyla","Bovidae","Cephalophus","niger","Black Duiker","Cephalophus niger"
15281,"Mammalia","Artiodactyla","Bovidae","Cephalophus","nigrifrons","Black-fronted Duiker","Cephalophus nigrifrons"
15282,"Mammalia","Artiodactyla","Bovidae","Cephalophus","ogilbyi","Ogilby's Duiker","Cephalophus ogilbyi"
15284,"Mammalia","Artiodactyla","Bovidae","Cephalophus","rufilatus","Red-flanked Duiker","Cephalophus rufilatus"
15285,"Mammalia","Artiodactyla","Bovidae","Cephalophus","silvicultor","Yellow-backed Duiker","Cephalophus silvicultor"
15286,"Mammalia","Artiodactyla","Bovidae","Cephalophus","spadix","Abbott's Duiker","Cephalophus spadix"
15287,"Mammalia","Artiodactyla","Bovidae","Cephalophus","weynsi","Weyns's Duiker","Cephalophus weynsi"
15288,"Mammalia","Artiodactyla","Bovidae","Cephalophus","zebra","Zebra Duiker","Cephalophus zebra"
15171,"Mammalia","Artiodactyla","Bovidae","Connochaetes","gnou","Black Wildebeest","Connochaetes gnou"
15172,"Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","Blue Wildebeest","Connochaetes taurinus"
15174,"Mammalia","Artiodactyla","Bovidae","Damaliscus","lunatus","Topi","Damaliscus lunatus"
15175,"Mammalia","Artiodactyla","Bovidae","Damaliscus","pygargus","Bontebok","Damaliscus pygargus"
15180,"Mammalia","Artiodactyla","Bovidae","Dorcatragus","megalotis","Beira","Dorcatragus megalotis"
15190,"Mammalia","Artiodactyla","Bovidae","Eudorcas","rufifrons","Red-fronted Gazelle","Eudorcas rufifrons"
15196,"Mammalia","Artiodactyla","Bovidae","Eudorcas","thomsonii","Thomson's Gazelle","Eudorcas thomsonii"
15182,"Mammalia","Artiodactyla","Bovidae","Gazella","bennettii","Indian Gazelle","Gazella bennettii"
15184,"Mammalia","Artiodactyla","Bovidae","Gazella","cuvieri","Cuvier's Gazelle","Gazella cuvieri"
15186,"Mammalia","Artiodactyla","Bovidae","Gazella","dorcas","Dorcas Gazelle","Gazella dorcas"
95538,"Mammalia","Artiodactyla","Bovidae","Gazella","erlangeri",NA,"Gazella erlangeri"
15187,"Mammalia","Artiodactyla","Bovidae","Gazella","gazella","Mountain Gazelle","Gazella gazella"
15189,"Mammalia","Artiodactyla","Bovidae","Gazella","leptoceros","Rhim Gazelle","Gazella leptoceros"
